latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,date_end,date_complete,brightness,bright_t31
44.82711,-1.11016,326.31,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,279.49,3.39,N,2026-07-24 14:23:35,2026-07-23 03:05:00,,
44.82722,-1.11686,337.68,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,281.13,15.22,N,2026-07-24 14:23:35,2026-07-23 03:05:00,,
44.8273,-1.07775,296.01,0.51,0.66,2026-07-23,105,N20,VIIRS,n,2.0NRT,276.26,0.66,N,2026-07-24 14:23:35,2026-07-23 03:05:00,,
44.82734,-1.12358,347.17,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,291.93,15.22,N,2026-07-24 14:23:35,2026-07-23 03:05:00,,
44.82745,-1.13031,355.68,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,297.19,48.46,N,2026-07-24 14:23:35,2026-07-23 03:05:00,,
44.82745,-1.08437,299.41,0.51,0.66,2026-07-23,105,N20,VIIRS,n,2.0NRT,276.61,1.62,N,2026-07-24 14:23:35,2026-07-23 03:05:00,,
44.82756,-1.13702,344.68,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,313.52,48.46,N,2026-07-24 14:23:35,2026-07-23 03:05:00,,
44.8276,-1.09102,303.95,0.51,0.66,2026-07-23,105,N20,VIIRS,n,2.0NRT,277.74,1.62,N,2026-07-24 14:23:35,2026-07-23 03:05:00,,
44.82767,-1.1437,367.0,0.52,0.67,2026-07-23,105,N20,VIIRS,h,2.0NRT,294.23,43.72,N,2026-07-24 14:23:35,2026-07-23 03:05:00,,
44.82775,-1.09767,311.69,0.51,0.66,2026-07-23,105,N20,VIIRS,n,2.0NRT,276.0,12.06,N,2026-07-24 14:23:35,2026-07-23 03:05:00,,
44.82779,-1.15039,342.74,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,286.23,43.72,N,2026-07-24 14:23:35,2026-07-23 03:05:00,,
44.82789,-1.10434,322.17,0.52,0.66,2026-07-23,105,N20,VIIRS,n,2.0NRT,278.02,12.06,N,2026-07-24 14:23:35,2026-07-23 03:05:00,,
